FIPS,StateName,CountyName,PopEst2008
1000,Alabama,Alabama,4718206
2000,Alaska,Alaska,687455
4000,Arizona,Arizona,6280362
5000,Arkansas,Arkansas,2874554
6000,California,California,36604337
8000,Colorado,Colorado,4889730
9000,Connecticut,Connecticut,3545579
10000,Delaware,Delaware,883874
11000,District of Columbia,District of Columbia,580236
12000,Florida,Florida,18527305
13000,Georgia,Georgia,9504843
15000,Hawaii,Hawaii,1332213
16000,Idaho,Idaho,1534320
17000,Illinois,Illinois,12747038
18000,Indiana,Indiana,6424806
19000,Iowa,Iowa,3016734
20000,Kansas,Kansas,2808076
21000,Kentucky,Kentucky,4289878
22000,Louisiana,Louisiana,4435586
23000,Maine,Maine,1330509
24000,Maryland,Maryland,5684965
25000,Massachusetts,Massachusetts,6468967
26000,Michigan,Michigan,9946889
27000,Minnesota,Minnesota,5247018
28000,Mississippi,Mississippi,2947806
29000,Missouri,Missouri,5923916
30000,Montana,Montana,976415
31000,Nebraska,Nebraska,1796378
32000,Nevada,Nevada,2653630
33000,New Hampshire,New Hampshire,1315906
34000,New Jersey,New Jersey,8711090
35000,New Mexico,New Mexico,2010662
36000,New York,New York,19212436
37000,North Carolina,North Carolina,9309449
38000,North Dakota,North Dakota,657569
39000,Ohio,Ohio,11515391
40000,Oklahoma,Oklahoma,3668976
41000,Oregon,Oregon,3768748
42000,Pennsylvania,Pennsylvania,12612285
44000,Rhode Island,Rhode Island,1055003
45000,South Carolina,South Carolina,4528996
46000,South Dakota,South Dakota,799124
47000,Tennessee,Tennessee,6247411
48000,Texas,Texas,24309039
49000,Utah,Utah,2663029
50000,Vermont,Vermont,624151
51000,Virginia,Virginia,7833496
53000,Washington,Washington,6562231
54000,West Virginia,West Virginia,1840310
55000,Wisconsin,Wisconsin,5640996
56000,Wyoming,Wyoming,546043
1001,Alabama,Autauga County,53277
4001,Arizona,Apache County,69883
5001,Arkansas,Arkansas County,19275
6001,California,Alameda County,1477208
8001,Colorado,Adams County,424913
9001,Connecticut,Fairfield County,903824
10001,Delaware,Kent County,157925
11001,District of Columbia,District of Columbia,580236
12001,Florida,Alachua County,244888
13001,Georgia,Appling County,18133
15001,Hawaii,Hawaii County,181506
16001,Idaho,Ada County,382618
17001,Illinois,Adams County,66943
18001,Indiana,Adams County,34214
19001,Iowa,Adair County,7747
20001,Kansas,Allen County,13422
21001,Kentucky,Adair County,18541
22001,Louisiana,Acadia Parish,61115
23001,Maine,Androscoggin County,108284
24001,Maryland,Allegany County,74638
25001,Massachusetts,Barnstable County,217066
26001,Michigan,Alcona County,11286
27001,Minnesota,Aitkin County,16422
28001,Mississippi,Adams County,32629
29001,Missouri,Adair County,25399
30001,Montana,Beaverhead County,9166
31001,Nebraska,Adams County,31160
32001,Nevada,Churchill County,25049
33001,New Hampshire,Belknap County,60239
34001,New Jersey,Atlantic County,273014
35001,New Mexico,Bernalillo County,646879
36001,New York,Albany County,303739
37001,North Carolina,Alamance County,147704
38001,North Dakota,Adams County,2343
39001,Ohio,Adams County,28686
40001,Oklahoma,Adair County,22346
41001,Oregon,Baker County,16195
42001,Pennsylvania,Adams County,101056
44001,Rhode Island,Bristol County,50668
45001,South Carolina,Abbeville County,25699
47001,Tennessee,Anderson County,74397
48001,Texas,Anderson County,57963
49001,Utah,Beaver County,6413
50001,Vermont,Addison County,36905
51001,Virginia,Accomack County,33970
53001,Washington,Adams County,17782
54001,West Virginia,Barbour County,16241
55001,Wisconsin,Adams County,21101
56001,Wyoming,Albany County,34643
1003,Alabama,Baldwin County,175827
4003,Arizona,Cochise County,129023
5003,Arkansas,Ashley County,22148
6003,California,Alpine County,1202
8003,Colorado,Alamosa County,15300
9003,Connecticut,Hartford County,887891
10003,Delaware,New Castle County,533958
12003,Florida,Baker County,26725
13003,Georgia,Atkinson County,8366
15003,Hawaii,Honolulu County,933680
16003,Idaho,Adams County,4021
17003,Illinois,Alexander County,8461
18003,Indiana,Allen County,351264
19003,Iowa,Adams County,4151
20003,Kansas,Anderson County,8158
21003,Kentucky,Allen County,19838
22003,Louisiana,Allen Parish,25854
23003,Maine,Aroostook County,72542
24003,Maryland,Anne Arundel County,525304
25003,Massachusetts,Berkshire County,131372
26003,Michigan,Alger County,9647
27003,Minnesota,Anoka County,327427
28003,Mississippi,Alcorn County,36793
29003,Missouri,Andrew County,16924
30003,Montana,Big Horn County,12564
31003,Nebraska,Antelope County,6704
32003,Nevada,Clark County,1912349
33003,New Hampshire,Carroll County,48013
34003,New Jersey,Bergen County,895328
35003,New Mexico,Catron County,3631
36003,New York,Allegany County,49177
37003,North Carolina,Alexander County,36840
38003,North Dakota,Barnes County,11027
39003,Ohio,Allen County,106773
40003,Oklahoma,Alfalfa County,5618
41003,Oregon,Benton County,84150
42003,Pennsylvania,Allegheny County,1221071
44003,Rhode Island,Kent County,167269
45003,South Carolina,Aiken County,156896
46003,South Dakota,Aurora County,2750
47003,Tennessee,Bedford County,44395
48003,Texas,Andrews County,14099
49003,Utah,Box Elder County,48437
50003,Vermont,Bennington County,37168
51003,Virginia,Albemarle County,97081
53003,Washington,Asotin County,21393
54003,West Virginia,Berkeley County,101629
55003,Wisconsin,Ashland County,16145
56003,Wyoming,Big Horn County,11419
1005,Alabama,Barbour County,27808
4005,Arizona,Coconino County,131853
5005,Arkansas,Baxter County,41519
6005,California,Amador County,38248
8005,Colorado,Arapahoe County,552461
9005,Connecticut,Litchfield County,190175
10005,Delaware,Sussex County,191991
12005,Florida,Bay County,166267
13005,Georgia,Bacon County,10987
15005,Hawaii,Kalawao County,99
16005,Idaho,Bannock County,80609
17005,Illinois,Bond County,17916
18005,Indiana,Bartholomew County,76080
19005,Iowa,Allamakee County,14325
20005,Kansas,Atchison County,16820
21005,Kentucky,Anderson County,21088
22005,Louisiana,Ascension Parish,102891
23005,Maine,Cumberland County,280681
24005,Maryland,Baltimore County,798651
25005,Massachusetts,Bristol County,546456
26005,Michigan,Allegan County,111589
27005,Minnesota,Becker County,32244
28005,Mississippi,Amite County,13324
29005,Missouri,Atchison County,5798
30005,Montana,Blaine County,6401
31005,Nebraska,Arthur County,453
32005,Nevada,Douglas County,47270
33005,New Hampshire,Cheshire County,77472
34005,New Jersey,Burlington County,446831
35005,New Mexico,Chaves County,64378
36005,New York,Bronx County,1363488
37005,North Carolina,Alleghany County,11131
38005,North Dakota,Benson County,6622
39005,Ohio,Ashland County,53499
40005,Oklahoma,Atoka County,14220
41005,Oregon,Clackamas County,371103
42005,Pennsylvania,Armstrong County,69611
44005,Rhode Island,Newport County,82505
45005,South Carolina,Allendale County,10803
46005,South Dakota,Beadle County,16810
47005,Tennessee,Benton County,16431
48005,Texas,Angelina County,84961
49005,Utah,Cache County,106824
50005,Vermont,Caledonia County,31167
51005,Virginia,Alleghany County,16404
53005,Washington,Benton County,166573
54005,West Virginia,Boone County,24794
55005,Wisconsin,Barron County,46009
56005,Wyoming,Campbell County,42846
35006,New Mexico,Cibola County,27259
1007,Alabama,Bibb County,22705
4007,Arizona,Gila County,53437
5007,Arkansas,Benton County,210807
6007,California,Butte County,219034
8007,Colorado,Archuleta County,12250
9007,Connecticut,Middlesex County,164962
12007,Florida,Bradford County,28961
13007,Georgia,Baker County,3728
15007,Hawaii,Kauai County,65603
16007,Idaho,Bear Lake County,6027
17007,Illinois,Boone County,54211
18007,Indiana,Benton County,8801
19007,Iowa,Appanoose County,12950
20007,Kansas,Barber County,4844
21007,Kentucky,Ballard County,8265
22007,Louisiana,Assumption Parish,23534
23007,Maine,Franklin County,30652
25007,Massachusetts,Dukes County,16132
26007,Michigan,Alpena County,30119
27007,Minnesota,Beltrami County,43815
28007,Mississippi,Attala County,19622
29007,Missouri,Audrain County,25774
30007,Montana,Broadwater County,5261
31007,Nebraska,Banner County,677
32007,Nevada,Elko County,47634
33007,New Hampshire,Coos County,33488
34007,New Jersey,Camden County,513853
35007,New Mexico,Colfax County,13764
36007,New York,Broome County,201029
37007,North Carolina,Anson County,26837
38007,North Dakota,Billings County,768
39007,Ohio,Ashtabula County,101826
40007,Oklahoma,Beaver County,5521
41007,Oregon,Clatsop County,36825
42007,Pennsylvania,Beaver County,171336
44007,Rhode Island,Providence County,627889
45007,South Carolina,Anderson County,184520
46007,South Dakota,Bennett County,3429
47007,Tennessee,Bledsoe County,13070
48007,Texas,Aransas County,23225
49007,Utah,Carbon County,20596
50007,Vermont,Chittenden County,154659
51007,Virginia,Amelia County,12563
53007,Washington,Chelan County,70813
54007,West Virginia,Braxton County,14587
55007,Wisconsin,Bayfield County,15160
56007,Wyoming,Carbon County,15658
1009,Alabama,Blount County,57055
4009,Arizona,Graham County,36639
5009,Arkansas,Boone County,36974
6009,California,Calaveras County,46265
8009,Colorado,Baca County,3806
9009,Connecticut,New Haven County,856622
12009,Florida,Brevard County,542378
13009,Georgia,Baldwin County,47855
15009,Hawaii,Maui County,151325
16009,Idaho,Benewah County,9385
